               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.058803,           0.0073249,           0.0094398,             0.92958,             0.86054,             0.91199,             0.44905,            0.041326,           0.0051848,           0.0038299,              0.0037,              0.0037,              0.0037
                  37,            0.057041,           0.0072677,           0.0088785,             0.92008,               0.874,             0.91582,             0.45184,            0.040573,            0.005082,           0.0034607,             0.00352,             0.00352,             0.00352
                  38,            0.056383,           0.0071498,           0.0086717,             0.93107,             0.88858,             0.92147,             0.46679,            0.040124,           0.0051408,            0.003487,             0.00334,             0.00334,             0.00334
                  39,            0.055839,           0.0070427,           0.0084744,             0.94034,             0.87568,             0.91929,             0.45211,            0.040704,           0.0050508,           0.0033951,             0.00316,             0.00316,             0.00316
                  40,            0.056214,           0.0072603,           0.0083611,             0.92408,              0.8821,             0.91744,             0.46305,            0.039972,            0.005132,           0.0034096,             0.00298,             0.00298,             0.00298
                  41,            0.053989,             0.00703,           0.0077519,              0.9396,             0.88048,             0.92743,             0.46519,            0.039562,           0.0049955,           0.0030809,              0.0028,              0.0028,              0.0028
                  42,            0.053149,           0.0069344,           0.0074977,             0.93982,             0.89276,              0.9272,             0.47138,            0.039776,           0.0050488,           0.0031744,             0.00262,             0.00262,             0.00262
                  43,            0.052504,           0.0068616,           0.0074325,             0.93788,             0.90375,             0.92862,              0.4736,            0.039484,           0.0049486,           0.0031036,             0.00244,             0.00244,             0.00244
                  44,            0.053034,           0.0070608,           0.0073895,             0.93824,             0.88434,             0.92492,             0.47118,            0.039424,           0.0049969,           0.0030942,             0.00226,             0.00226,             0.00226
                  45,            0.054202,           0.0069872,           0.0078423,             0.93749,             0.89078,             0.93072,             0.46946,            0.039559,           0.0049888,           0.0030539,             0.00208,             0.00208,             0.00208
                  46,            0.056034,           0.0071134,           0.0082829,             0.93085,             0.89177,             0.93216,             0.48196,            0.038575,           0.0049547,           0.0028858,              0.0019,              0.0019,              0.0019
                  47,            0.054424,            0.007029,           0.0079249,             0.95429,             0.88856,               0.931,             0.47033,             0.03922,           0.0049047,           0.0028824,             0.00172,             0.00172,             0.00172
                  48,            0.053942,            0.006914,           0.0076486,             0.94452,             0.90078,             0.93627,             0.47749,            0.038575,           0.0048726,           0.0029054,             0.00154,             0.00154,             0.00154
                  49,            0.053431,           0.0068128,           0.0074768,             0.95301,             0.89996,              0.9349,             0.48878,            0.038331,           0.0048778,           0.0028114,             0.00136,             0.00136,             0.00136
