               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.057149,           0.0069156,           0.0083514,             0.92932,             0.84291,             0.89436,             0.44462,            0.042272,           0.0052809,           0.0042321,             0.00475,             0.00475,             0.00475
                  37,            0.058882,           0.0072818,           0.0088352,             0.92983,             0.85599,             0.89875,             0.44448,            0.041681,           0.0052249,            0.003816,              0.0046,              0.0046,              0.0046
                  38,            0.060283,            0.007168,           0.0095317,             0.93654,             0.83648,             0.88809,             0.41241,            0.043596,           0.0052787,           0.0037974,             0.00445,             0.00445,             0.00445
                  39,            0.060709,           0.0072457,           0.0096585,             0.93264,             0.86225,             0.90348,             0.44608,            0.041249,           0.0051795,           0.0038369,              0.0043,              0.0043,              0.0043
                  40,            0.059186,           0.0071267,            0.009206,             0.95183,             0.85342,             0.91498,             0.43583,            0.042152,           0.0050704,           0.0035629,             0.00415,             0.00415,             0.00415
                  41,              0.0582,            0.007052,           0.0087665,             0.92421,             0.87896,             0.91293,             0.45729,            0.040441,           0.0051056,           0.0036041,               0.004,               0.004,               0.004
                  42,            0.057931,            0.006941,            0.008566,             0.94498,             0.87202,             0.91683,             0.47011,            0.039997,           0.0050408,           0.0032944,             0.00385,             0.00385,             0.00385
                  43,            0.055332,           0.0068758,            0.007706,             0.94063,             0.87264,             0.91307,             0.46601,            0.039953,           0.0050285,           0.0033158,              0.0037,              0.0037,              0.0037
                  44,            0.054579,           0.0067697,           0.0075183,             0.94916,             0.88318,             0.91888,             0.47012,            0.039965,           0.0049821,           0.0031925,             0.00355,             0.00355,             0.00355
                  45,            0.054195,           0.0066793,           0.0072516,             0.94684,             0.88033,             0.92056,             0.47279,            0.039641,           0.0050368,           0.0030491,              0.0034,              0.0034,              0.0034
                  46,            0.055598,           0.0070028,           0.0076723,             0.94873,             0.87647,             0.92024,             0.47137,            0.039759,           0.0049711,           0.0031353,             0.00325,             0.00325,             0.00325
                  47,            0.055728,           0.0068204,           0.0078446,             0.95565,             0.87246,             0.91902,             0.45265,             0.04028,           0.0050471,           0.0030963,              0.0031,              0.0031,              0.0031
                  48,            0.056466,           0.0069372,           0.0081129,             0.95778,             0.87088,             0.92523,             0.46912,            0.039628,           0.0049908,           0.0029839,             0.00295,             0.00295,             0.00295
                  49,            0.055123,           0.0068349,           0.0077328,             0.94621,             0.86652,             0.91879,             0.45714,             0.04025,           0.0050803,            0.003042,              0.0028,              0.0028,              0.0028
                  50,            0.054389,           0.0067399,           0.0073201,             0.94677,             0.88828,             0.92416,             0.47966,            0.038774,           0.0048997,           0.0031827,             0.00265,             0.00265,             0.00265
                  51,            0.054064,           0.0066626,            0.007208,             0.94867,             0.87706,             0.92202,             0.48337,            0.038669,            0.004922,           0.0031264,              0.0025,              0.0025,              0.0025
                  52,            0.055617,           0.0068226,           0.0081449,             0.95186,              0.8869,             0.92463,             0.47767,            0.038779,           0.0048826,           0.0031457,             0.00235,             0.00235,             0.00235
                  53,            0.055462,           0.0066958,           0.0078081,             0.94393,             0.88527,               0.927,             0.48217,            0.038379,           0.0048771,            0.002911,              0.0022,              0.0022,              0.0022
                  54,            0.051877,           0.0066053,           0.0065548,             0.95415,             0.88629,             0.92455,             0.48201,            0.038385,           0.0048991,           0.0027511,             0.00205,             0.00205,             0.00205
                  55,            0.051274,           0.0064906,           0.0064294,             0.96096,             0.89011,             0.92796,             0.48011,            0.038577,           0.0048581,           0.0027623,              0.0019,              0.0019,              0.0019
                  56,            0.048962,           0.0064088,           0.0056418,             0.94763,             0.89089,             0.92872,             0.48408,            0.038331,           0.0048702,           0.0029025,             0.00175,             0.00175,             0.00175
                  57,            0.048319,           0.0062958,           0.0054482,             0.95912,             0.88687,             0.92943,             0.48413,            0.038167,           0.0048214,           0.0026162,              0.0016,              0.0016,              0.0016
                  58,             0.05069,           0.0063926,           0.0061472,             0.96091,             0.89253,              0.9317,             0.48816,            0.038388,           0.0048424,           0.0025539,             0.00145,             0.00145,             0.00145
                  59,            0.051953,            0.006669,           0.0064529,               0.959,             0.89739,             0.93329,             0.49761,            0.037821,           0.0047764,            0.002503,              0.0013,              0.0013,              0.0013
